_id,ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ประกอบกิจการ,,,,,,อำเภอ,จังหวัด,ไปรษณีย์,เขต,จำนวนโรงงาน
1,1,น.53(4)-1/2530-ญนล.,7.203E+13,บริษัท เหรียญทอง ลามิทิวบ์ จำกัด,ผลิตผลิตภัณฑ์พลาสติก (หลอดลามิทิวบ์สำหรับบรรจุยาสีฟัน),,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,ธนบุรี,95
2,2,น.32-6/2533-ญนล.,7.203E+13,บริษัท คูอิโป (ประเทศไทย) จำกัด,เกี่ยวกับผลิตภัณฑ์กระเป๋าถือทุกแบบ ทุกชนิด กระเป๋าสตางค์ทุกแบบ ทุกชนิด เข็มขัดทุกแบบทุกชนิด และส่วนประกอบของกระเป๋าทุกแบบทุกชนิด ที่ทำจากหนังแท้ หนังเทียม ผ้าไนล่อน ใยสังเคราะห์และผลิตภัณฑ์เครื่องหนังทุกชนิด เครื่องใช้สำนักงานและเครื่องประดับที่มีหนังเป็นส่วนประกอบ,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,บางนา,146
3,3,น.84(1)-2/2536-นอธ.,8.216E+13,บริษัท เอ็ม เค เอส จิวเวลรี่ อินเตอร์เนชั่นแนล จำกัด,ผลิตเครื่องประดับกายและเจียระไนเพชรพลอย,,,,,,ประเวศ,กรุงเทพมหานคร,10250,บางกะปิ,116
4,4,น.36(1)-1/2528-ญนช.,7.201E+13,บริษัท อัครวุฒิ จำกัด,ผลิตแผ่นไม้ทำดินสอ และอุปกรณ์เครื่องเขียน,,,,,,คันนายาว,กรุงเทพมหานคร,10230,ดินแดง,59
5,5,น.84(1)-5/2536-ญอธ.,7.216E+13,บริษัท เทียนโป จิวเวลรี่ จำกัด,ผลิตเครื่องประดับและอัญมณี,,,,,,ประเวศ,กรุงเทพมหานคร,10250,ยานนาวา,239
6,6,น.71-1/2537-ญนล.,7.20301E+13,บริษัท วอสโล-ชวาเบ้ (ประเทศไทย) จำกัด,ผลิตบัลลาสต์,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,พญาไท,34
7,7,น.45(1)-1/2523-ญนช.,7.201E+13,บริษัท พี เอ็ม เคมิคัล จำกัด,ผลิตสี,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,วังทองหลาง,110
8,8,น.67(7)-3/2533-ญนล.,7.203E+13,บริษัท โอกิฮาร่า (ประเทศไทย) จำกัด,ผลิตแม่พิมพ์ (MOULDS AND DIES) ชิ้นส่วนรถยนต์,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,,
9,9,น.72-12/2535-ญนช.,7.201E+13,บริษัท ไทเทียน อีเลคทรอนิคส์ จำกัด,ผลิตชิ้นส่วนอิเล็คทรอนิคส์(QUARTZ GRYSTAL TUNING FORK และ AT CUT GRYSTALS),,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
10,10,น.77(2)-1/2521-ญนช.,7.20101E+13,บริษัท สยามเทคนิค ชิมิสึ จำกัด,ผลิตชิ้นส่วนรถยนต์ รถบรรทุก รถแทรกเตอร์และชิ้นส่วนสำหรับใช้ในการรถไฟ (ตะปูรางรถไฟ),,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
